(((10, 18.0), 'hit'), -0.5343872603194528)
(((8, 19.0), 'stick'), 0.6254384972275656)
(((4, 14.0), 'stick'), 0.15282246270839464)
(((10, 3), 'stick'), -0.29585166509437866)
(((8, 12.0), 'stick'), -0.11368750238358483)
(((9, 9.0), 'hit'), -0.25195372695218804)
(((5, 19.0), 'stick'), 0.6284809370144602)
(((1, 18.0), 'stick'), 0.5751463890696173)
(((6, 9), 'hit'), -0.052473784883155086)
(((1, 21.0), 'stick'), 0.9514881342598662)
(((6, 19.0), 'stick'), 0.5997284693937789)
(((2, 12.0), 'stick'), 0.2505684045472344)
(((9, 10), 'hit'), -0.17605974303971775)
(((5, 13.0), 'hit'), -0.08682523732708054)
(((4, 10), 'hit'), 0.050411680053566006)
(((1, 3.0), 'stick'), 0.31635115140531184)
(((4, 1), 'stick'), 0.15272226111114234)
(((1, 5), 'stick'), 0.3167012617187054)
(((6, 15.0), 'hit'), -0.23753884544895998)
(((8, 21.0), 'hit'), -0.6895621521422188)
(((7, 18.0), 'stick'), 0.4139782479005095)
(((8, 4), 'stick'), -0.11756747775040251)
(((6, 11.0), 'hit'), 0.026000637226332567)
(((5, 11.0), 'stick'), 0.09801840056617134)
(((1, 19.0), 'hit'), -0.4298402512460533)
(((7, 3), 'hit'), -0.30976273024378786)
(((1, 7), 'hit'), 0.06091519744666667)
(((10, 9), 'stick'), -0.29761276641337614)
(((9, 7), 'hit'), -0.3364914016470064)
(((6, 1), 'stick'), 0.07007901591262194)
(((6, 16.0), 'hit'), -0.29363033978959985)
(((9, 9.0), 'stick'), -0.20795753437160705)
(((10, 1), 'stick'), -0.29507815259905884)
(((8, 11.0), 'hit'), -0.0841124107382246)
(((7, 9), 'hit'), -0.12021721018272505)
(((4, 12.0), 'hit'), 0.018500694464434208)
(((5, 18.0), 'hit'), -0.42151801174520676)
(((2, 8.0), 'hit'), 0.04459165405455716)
(((6, 19.0), 'hit'), -0.5043382612383107)
(((5, 13.0), 'stick'), 0.10321753677029766)
(((8, 8.0), 'stick'), -0.11976683067309857)
(((3, 1), 'hit'), -0.2303756032028082)
(((7, 11.0), 'hit'), -0.01964289279131457)
(((4, 18.0), 'stick'), 0.4550939256821624)
(((3, 16.0), 'hit'), -0.2361306093253507)
(((9, 6.0), 'stick'), -0.2109508929369093)
(((6, 3), 'stick'), 0.06910570419023798)
(((9, 21.0), 'hit'), -0.7080318246533642)
(((5, 7), 'stick'), 0.10696283458908969)
(((1, 15.0), 'hit'), -0.1143420415288775)
(((9, 4), 'stick'), -0.21141485333092308)
(((10, 9), 'hit'), -0.31095586551675364)
(((6, 14.0), 'hit'), -0.17073236290268315)
(((2, 19.0), 'hit'), -0.45741153724858186)
(((5, 10.0), 'stick'), 0.10902905326432173)
(((4, 11.0), 'hit'), 0.07939710810397367)
(((7, 10), 'stick'), -0.026028920559217225)
(((6, 10.0), 'hit'), -0.013606931095579772)
(((5, 12.0), 'hit'), -0.01599142726605018)
(((9, 14.0), 'hit'), -0.3012927214548029)
(((5, 14.0), 'stick'), 0.1130262649671684)
(((8, 6), 'stick'), -0.11942219801356362)
(((8, 7), 'stick'), -0.11760385557265317)
(((7, 5), 'stick'), -0.026328953922456332)
(((5, 16.0), 'hit'), -0.27901165183177246)
(((10, 1), 'hit'), -0.5362616928166273)
(((7, 17.0), 'stick'), 0.15802875973636846)
(((8, 9.0), 'stick'), -0.11821119085508874)
(((7, 2), 'hit'), -0.3432368614756027)
(((8, 10.0), 'hit'), -0.13568840763857773)
(((6, 18.0), 'hit'), -0.42425462712831585)
(((10, 12.0), 'stick'), -0.29847158201186375)
(((9, 6.0), 'hit'), -0.36325865912707206)
(((9, 21.0), 'stick'), 0.9342354979783828)
(((3, 15.0), 'hit'), -0.17252419819125595)
(((7, 8), 'stick'), -0.024888877664410922)
(((9, 4), 'hit'), -0.4042214788685854)
(((2, 2), 'stick'), 0.2558385765656742)
(((3, 17.0), 'hit'), -0.3032650494166642)
(((3, 12.0), 'stick'), 0.2024880682262741)
(((5, 1), 'stick'), 0.10721291875179968)
(((9, 2), 'hit'), -0.46152709321308527)
(((2, 9), 'hit'), 0.08697351889247745)
(((4, 13.0), 'hit'), -0.0504915513631502)
(((8, 14.0), 'hit'), -0.25065087876430064)
(((2, 18.0), 'hit'), -0.36356343083643244)
(((7, 10), 'hit'), -0.0708178775053076)
(((6, 10.0), 'stick'), 0.06881954093839057)
(((2, 4), 'hit'), -0.08752128930844924)
(((9, 18.0), 'stick'), 0.27222802646735644)
(((9, 20.0), 'hit'), -0.6384622413187341)
(((4, 8), 'stick'), 0.15060519108688897)
(((10, 21.0), 'hit'), -0.7277042976774604)
(((4, 20.0), 'stick'), 0.8015847083809853)
(((1, 14.0), 'hit'), -0.045986775932911735)
(((4, 2), 'stick'), 0.15166903208726215)
(((5, 4.0), 'stick'), 0.10831931941833835)
(((2, 10), 'stick'), 0.2570178270832455)
(((1, 16.0), 'stick'), 0.3160426955552002)
(((8, 10.0), 'stick'), -0.11888908833609206)
